Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Landingly,Chrome 117.0.0.0,,,2023-10-09 17:39:05,2023-10-09 18:02:16,23m - 10.359s,FAILED
,,,,,,,
Test Cases/Contacts/TC001-contacts-Verify user can add new contact,Chrome 117.0.0.0,,,2023-10-09 17:39:07,2023-10-09 17:39:49,42.743s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-09 17:39:08,2023-10-09 17:39:19,10.848s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-10-09 17:39:19,2023-10-09 17:39:20,0.731s,PASSED
"navigateToUrl(""https://app.landingly.com/"")",Chrome 117.0.0.0,,,2023-10-09 17:39:20,2023-10-09 17:39:25,5.135s,PASSED
"setText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Login/input_Email_login-email""), ""sqaahmadtahir@gmail.com"")",Chrome 117.0.0.0,,,2023-10-09 17:39:25,2023-10-09 17:39:27,1.808s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Login/input_Forgot Password_login-password""), ""/5S6MFFLcE5DAenbZpYNsQ=="")",Chrome 117.0.0.0,,,2023-10-09 17:39:27,2023-10-09 17:39:28,0.928s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Login/button_Sign in""))",Chrome 117.0.0.0,,,2023-10-09 17:39:28,2023-10-09 17:39:29,0.685s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly/a_Contacts""))",Chrome 117.0.0.0,,,2023-10-09 17:39:29,2023-10-09 17:39:31,2.415s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/button_New Contact""))",Chrome 117.0.0.0,,,2023-10-09 17:39:31,2023-10-09 17:39:35,3.557s,PASSED
"setText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/input__Name""), ""new test contact"")",Chrome 117.0.0.0,,,2023-10-09 17:39:35,2023-10-09 17:39:39,4.333s,PASSED
address = customKeywords.Emailautomation.populateEmail(),Chrome 117.0.0.0,,,2023-10-09 17:39:39,2023-10-09 17:39:39,0.049s,PASSED
"setText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/input__Email""), address)",Chrome 117.0.0.0,,,2023-10-09 17:39:39,2023-10-09 17:39:41,1.835s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/input__ProjectIds""))",Chrome 117.0.0.0,,,2023-10-09 17:39:41,2023-10-09 17:39:42,0.806s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/span_new optin project""))",Chrome 117.0.0.0,,,2023-10-09 17:39:42,2023-10-09 17:39:43,1.073s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/button_Save""))",Chrome 117.0.0.0,,,2023-10-09 17:39:43,2023-10-09 17:39:44,1.072s,PASSED
"verifyElementText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/div_Contact is added successfully""), ""Contact is added successfully"")",Chrome 117.0.0.0,,,2023-10-09 17:39:44,2023-10-09 17:39:47,3.226s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-09 17:39:47,2023-10-09 17:39:49,2.500s,PASSED
,,,,,,,
Test Cases/Dashboard/TC014-Verify user can click on continue button,Chrome 117.0.0.0,,,2023-10-09 17:39:49,2023-10-09 17:40:45,55.607s,FAILED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-09 17:39:51,2023-10-09 17:39:54,3.247s,PASSED
"navigateToUrl(""https://app.landingly.com/"")",Chrome 117.0.0.0,,,2023-10-09 17:39:54,2023-10-09 17:40:07,13.017s,PASSED
"setText(findTestObject(""Object Repository/Dashboard/TC014-Verify user can click on continue button/Page_Landingly  Login/input_Email_login-email""), ""sqaahmadtahir@gmail.com"")",Chrome 117.0.0.0,,,2023-10-09 17:40:07,2023-10-09 17:40:08,1.267s,PASSED
