Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Landingly,Chrome 117.0.0.0,,,2023-10-09 13:01:34,2023-10-09 13:25:10,23m - 36.429s,FAILED
,,,,,,,
Test Cases/Contacts/TC001-contacts-Verify user can add new contact,Chrome 117.0.0.0,,,2023-10-09 13:01:35,2023-10-09 13:02:03,28.127s,FAILED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-09 13:01:37,2023-10-09 13:01:48,10.881s,PASSED
"navigateToUrl(""https://app.landingly.com/"")",Chrome 117.0.0.0,,,2023-10-09 13:01:48,2023-10-09 13:01:57,8.903s,PASSED
"setText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Login/input_Email_login-email""), ""sqaahmadtahir@gmail.com"")",Chrome 117.0.0.0,,,2023-10-09 13:01:57,2023-10-09 13:01:58,1.525s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Login/input_Forgot Password_login-password""), ""/5S6MFFLcE5DAenbZpYNsQ=="")",Chrome 117.0.0.0,,,2023-10-09 13:01:58,2023-10-09 13:01:59,0.995s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Login/button_Sign in""))",Chrome 117.0.0.0,,,2023-10-09 13:01:59,2023-10-09 13:02:00,0.839s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly/a_Contacts""))",Chrome 117.0.0.0,,,2023-10-09 13:02:00,2023-10-09 13:02:03,3.036s,FAILED
,,,,,,,
Test Cases/Dashboard/TC014-Verify user can click on continue button,Chrome 117.0.0.0,,,2023-10-09 13:02:03,2023-10-09 13:02:36,32.905s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-09 13:02:05,2023-10-09 13:02:09,3.998s,PASSED
"navigateToUrl(""https://app.landingly.com/"")",Chrome 117.0.0.0,,,2023-10-09 13:02:09,2023-10-09 13:02:20,11.686s,PASSED
"setText(findTestObject(""Object Repository/Dashboard/TC014-Verify user can click on continue button/Page_Landingly  Login/input_Email_login-email""), ""sqaahmadtahir@gmail.com"")",Chrome 117.0.0.0,,,2023-10-09 13:02:20,2023-10-09 13:02:22,1.338s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Dashboard/TC014-Verify user can click on continue button/Page_Landingly  Login/input_Forgot Password_login-password""), ""/5S6MFFLcE5DAenbZpYNsQ=="")",Chrome 117.0.0.0,,,2023-10-09 13:02:22,2023-10-09 13:02:22,0.779s,PASSED
"click(findTestObject(""Object Repository/Dashboard/TC014-Verify user can click on continue button/Page_Landingly  Login/button_Sign in""))",Chrome 117.0.0.0,,,2023-10-09 13:02:22,2023-10-09 13:02:23,0.638s,PASSED
