Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Landingly,Chrome 117.0.0.0,,,2023-10-10 09:13:00,2023-10-10 09:38:22,25m - 21.681s,FAILED
,,,,,,,
Test Cases/Contacts/TC001-contacts-Verify user can add new contact,Chrome 117.0.0.0,,,2023-10-10 09:13:01,2023-10-10 09:14:12,1m - 10.072s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-10 09:13:04,2023-10-10 09:13:24,20.218s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-10-10 09:13:24,2023-10-10 09:13:25,0.427s,PASSED
"navigateToUrl(""https://app.landingly.com/"")",Chrome 117.0.0.0,,,2023-10-10 09:13:25,2023-10-10 09:13:31,6.825s,PASSED
"setText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Login/input_Email_login-email""), ""sqaahmadtahir@gmail.com"")",Chrome 117.0.0.0,,,2023-10-10 09:13:31,2023-10-10 09:13:34,2.396s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Login/input_Forgot Password_login-password""), ""/5S6MFFLcE5DAenbZpYNsQ=="")",Chrome 117.0.0.0,,,2023-10-10 09:13:34,2023-10-10 09:13:35,1.180s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Login/button_Sign in""))",Chrome 117.0.0.0,,,2023-10-10 09:13:35,2023-10-10 09:13:36,1.011s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly/a_Contacts""))",Chrome 117.0.0.0,,,2023-10-10 09:13:36,2023-10-10 09:13:40,4.385s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/button_New Contact""))",Chrome 117.0.0.0,,,2023-10-10 09:13:40,2023-10-10 09:13:44,3.951s,PASSED
"setText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/input__Name""), ""new test contact"")",Chrome 117.0.0.0,,,2023-10-10 09:13:44,2023-10-10 09:13:51,6.589s,PASSED
address = customKeywords.Emailautomation.populateEmail(),Chrome 117.0.0.0,,,2023-10-10 09:13:51,2023-10-10 09:13:51,0.041s,PASSED
"setText(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/input__Email""), address)",Chrome 117.0.0.0,,,2023-10-10 09:13:51,2023-10-10 09:13:53,2.008s,PASSED
"click(findTestObject(""Object Repository/Contacts/TC001-contacts-Verify user can add new contact/Page_Landingly  Contacts/input__ProjectIds""))",Chrome 117.0.0.0,,,2023-10-10 09:13:53,2023-10-10 09:13:55,1.559s,PASSED
